c3540 ,Number of Inputs = 50 
inputs,len,attack_iterations,locking_time,SAT_extecution_time
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
"['N330', 'N223', 'N20', 'N350', 'N143', 'N213', 'N68', 'N33', 'N222']",9,256,11.16645336151123,131.1609079837799
c880 ,Number of Inputs = 60 
inputs,len,attack_iterations,locking_time,SAT_extecution_time
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
"['N96', 'N143', 'N29', 'N177', 'N111', 'N42', 'N36', ' N126', ' N88']",9,256,8.354220628738403,47.13434028625488
c7552 ,Number of Inputs = 207 
inputs,len,attack_iterations,locking_time,SAT_extecution_time
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
"['N204', 'N38', 'N233', 'N234', 'N222', 'N209', 'N242', 'N228', 'N156']",9,256,14.01645016670227,128.20673513412476
c17 ,Number of Inputs = 5 
inputs,len,attack_iterations,locking_time,SAT_extecution_time
"['N3', 'N2', 'N7', 'N6', 'N1']",5,16,7.782751560211182,0.3989100456237793
"['N3', 'N2', 'N7', 'N6', 'N1']",5,16,7.782751560211182,0.3989100456237793
"['N3', 'N2', 'N7', 'N6', 'N1']",5,16,7.782751560211182,0.3989100456237793
"['N3', 'N2', 'N7', 'N6', 'N1']",5,16,7.782751560211182,0.3989100456237793
c5315 ,Number of Inputs = 178 
inputs,len,attack_iterations,locking_time,SAT_extecution_time
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
"['N422', 'N273', ' N185', 'N149', 'N358', 'N265', 'N197', 'N100', 'N341']",9,256,13.446094036102295,159.76866126060486
