c3540 Number of Inputs = 50 
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
0,0,1,['N311'],1,10.222568035125732,1.5008721351623535
00,0,2,"['N329', 'N330']",1,10.628709316253662,1.5385050773620605
010,2,3,"['N137', 'N244', 'N97']",2,10.579627752304077,1.6054930686950684
0000,0,4,"['N270', 'N330', 'N350', 'N20']",10,10.314722299575806,4.356504440307617
00010,2,5,"['N58', 'N190', 'N226', 'N169', 'N322']",2,10.064520835876465,2.1066019535064697
111001,57,6,"['N264', 'N226', 'N200', 'N124', 'N330', 'N20']",1,10.700148344039917,2.0271096229553223
1100010,98,7,"['N350', 'N322', 'N326', 'N257', 'N97', 'N116', 'N77']",2,10.303189754486084,2.5558769702911377
00000111,7,8,"['N45', 'N137', 'N77', 'N41', 'N294', ' N232', 'N311', 'N20']",1,10.900798559188843,2.1527163982391357
010011011,155,9,"['N124', 'N41', 'N343', 'N45', 'N107', 'N222', 'N13', 'N116', 'N317']",8,10.696449518203735,3.7617897987365723
1011011110,734,10,"['N270', 'N190', 'N137', 'N213', ' N87', 'N33', 'N343', 'N322', 'N350', 'N20']",2,9.97353482246399,2.3370440006256104
01011010111,727,11,"['N343', 'N226', 'N179', ' N232', 'N317', 'N350', 'N68', 'N190', 'N124', 'N349', 'N20']",72,10.747355461120605,23.645554542541504
101000000100,2564,12,"['N226', 'N137', 'N213', 'N97', 'N283', ' N87', 'N45', 'N329', 'N322', 'N116', ' N232', 'N250']",2,10.749947309494019,2.3434231281280518
0000000110010,50,13,"['N107', 'N97', 'N270', 'N125', 'N45', 'N343', 'N274', ' N303', 'N264', ' N232', 'N159', 'N223', 'N330']",36,10.772037744522095,12.247134685516357
10000100001010,8458,14,"['N1', 'N116', 'N41', 'N322', 'N226', 'N326', 'N200', 'N349', 'N137', 'N169', 'N128', 'N68', 'N45', ' N150']",1097,9.861063241958618,332.28854513168335
c880 Number of Inputs = 60 
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
1,1,1,['N1'],1,7.529335260391235,0.45285677909851074
11,3,2,"['N156', 'N189']",3,7.423571586608887,0.5816082954406738
000,0,3,"['N29', 'N268', 'N255']",2,7.656599283218384,0.5938718318939209
0111,7,4,"['N26', 'N237', 'N153', 'N149']",1,8.213148593902588,0.4630849361419678
11000,24,5,"['N177', 'N91', 'N55', 'N87', 'N171']",30,8.277579307556152,3.5105531215667725
111000,56,6,"['N116', 'N237', 'N55', 'N87', 'N42', 'N138']",1,7.987329006195068,0.5878920555114746
0110111,55,7,"['N89', 'N135', 'N255', 'N210', 'N75', 'N116', 'N268']",1,7.762478828430176,0.4492800235748291
10010100,148,8,"['N68', 'N259', 'N89', 'N116', 'N195', 'N189', 'N201', 'N138']",1,9.07087230682373,0.47900390625
010101111,175,9,"[' N219', 'N135', 'N207', 'N149', 'N101', 'N75', 'N85', 'N152', 'N156']",12,9.392612218856812,2.270134449005127
0110111100,444,10,"['N210', 'N75', 'N68', 'N80', 'N149', 'N259', 'N90', 'N13', 'N51', 'N146']",132,7.939132928848267,13.98189902305603
01011110110,758,11,"['N259', 'N210', 'N152', 'N55', 'N121', 'N111', 'N177', 'N201', 'N80', 'N156', ' N126']",557,8.336555242538452,57.535682678222656
