c3540 ,Number of Inputs = 50 ,,,,,
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time
0,0,1,['N159'],1,10.70929337,1.63858223
11,3,2,"[' N232', 'N238']",2,3.758280277,1.040653467
111,7,3,"['N329', 'N264', 'N41']",2,3.747666359,1.35561347
0,0,4,"['N200', 'N97', 'N238', 'N77']",15,3.753235102,3.688487053
10,2,5,"['N41', 'N58', 'N128', 'N350', 'N33']",18,3.696941376,4.457448959
1101,13,6,"['N294', ' N303', 'N1', 'N238', 'N213', 'N329']",43,3.907737017,10.63185668
1111100,124,7,"['N270', ' N232', 'N190', 'N20', 'N274', 'N294', 'N50']",21,3.806548834,5.822542191
11010111,215,8,"['N45', ' N87', 'N200', 'N330', 'N58', 'N213', 'N244', 'N222']",8,3.976882219,2.854259968
10111111,191,9,"['N77', 'N13', 'N159', 'N169', 'N349', 'N41', 'N50', 'N223', 'N226']",1,4.012086153,1.022882223
1010000001,641,10,"['N264', 'N58', 'N257', 'N50', 'N159', 'N41', 'N20', 'N132', 'N317', 'N97']",2,4.061403751,1.227697372
1101101010,874,11,"['N1', 'N45', 'N238', 'N125', 'N169', 'N200', 'N159', ' N303', 'N213', 'N124', 'N317']",1,4.09731102,2.404530525
1.10E+11,3330,12,"['N20', 'N50', ' N150', 'N179', 'N322', 'N274', 'N41', 'N222', 'N116', 'N244', 'N68', 'N329']",1,4.206879616,1.295339108
1.11E+12,7484,13,"['N200', 'N13', 'N222', 'N169', 'N350', ' N303', ' N87', 'N68', 'N264', 'N132', 'N283', 'N1', 'N322']",90,4.213197947,21.30951071
1.10E+11,3537,14,"['N58', 'N190', 'N223', 'N330', 'N322', 'N317', ' N232', 'N222', 'N143', ' N87', 'N264', 'N137', 'N159', 'N20']",10,4.226267576,3.420436859
1.11E+14,29663,15,"['N159', 'N223', 'N45', 'N222', 'N125', 'N322', 'N1', 'N116', 'N137', 'N270', 'N317', 'N33', ' N87', 'N58', 'N244']",2,4.341282129,2.739724874
1.10E+14,28545,16,"['N169', 'N330', 'N257', 'N329', 'N20', 'N41', 'N132', ' N87', 'N250', 'N137', ' N150', 'N1', 'N97', 'N274', ' N303', 'N159']",1,4.344750643,2.18949008
1.01E+16,83839,17,"['N294', 'N20', 'N45', 'N274', 'N41', 'N326', 'N330', 'N343', 'N137', 'N311', 'N68', 'N58', 'N97', 'N322', 'N244', 'N116', 'N270']",19460,4.440782785,4942.468037
