c3540 ,Number of Inputs = 50 ,,,,,,,
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time,,
1,1,1,['N283'],1,3.755894423,1.24297905,,1.414213562
10,2,2,"['N116', 'N294']",1,3.721174955,1.032342196,,2
1,1,3,"['N77', 'N13', 'N317']",3,3.69754982,1.344086409,,2.828427125
10,2,4,"['N159', 'N294', 'N200', 'N311']",3,4.697021008,1.753889561,,4
10110,22,5,"['N349', 'N116', 'N322', 'N169', 'N326']",4,4.673627615,3.955894947,,5.656854249
111001,57,6,"['N349', 'N343', 'N20', 'N179', 'N58', 'N294']",5,4.557739258,3.075944185,,8
1110000,112,7,"['N169', 'N58', 'N20', 'N41', 'N137', 'N343', 'N179']",13,5.10469842,4.536411524,,11.3137085
1001011,75,8,"['N264', 'N250', 'N294', 'N190', 'N311', 'N200', 'N97', 'N322']",5,4.587309837,3.167713165,,16
111100001,481,9,"['N190', 'N200', 'N238', 'N223', ' N87', 'N330', 'N77', 'N311', 'N329']",17,4.708617926,9.121692181,,22.627417
c880 ,Number of Inputs = 60 ,,,,,,,1
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time,,#VALUE!
1,1,1,['N255'],1,2.394228697,0.34051609,,1.414213562
10,2,2,"['N165', 'N268']",1,2.534823656,0.382405043,,2
111,7,3,"['N89', 'N195', 'N101']",3,3.802001238,0.596264362,,2.828427125
1001,9,4,"['N101', 'N72', 'N153', ' N126']",7,2.66904068,0.834641218,,4
10001,17,5,"['N267', 'N138', 'N106', 'N68', 'N130']",5,2.574576855,0.749858379,,5.656854249
1,1,6,"['N29', 'N171', 'N207', 'N26', 'N268', 'N210']",3,2.666715145,0.511698484,,8
1010011,83,7,"[' N59', 'N143', ' N126', 'N195', 'N111', 'N135', 'N237']",4,2.604942083,0.612173557,,11.3137085
10011001,153,8,"['N183', 'N90', 'N189', 'N228', 'N267', 'N149', 'N261', 'N1']",3,2.634261608,0.53915596,,16
101010011,339,9,"['N177', 'N135', 'N201', 'N73', 'N260', 'N121', 'N96', 'N138', 'N237']",3,3.020854712,0.75369525,,22.627417
c7552 ,Number of Inputs = 207 ,,,,,,,1
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time,,#VALUE!
0,0,1,['N54'],1,11.04238749,1.880103827,,1.414213562
10,2,2,"['N328', 'N310']",1,7.215842724,1.595906258,,2
10,2,3,"['N289', 'N180', 'N228']",3,8.41691947,2.649623394,,2.828427125
1,1,4,"['N94', 'N121', 'N78', 'N77']",3,6.852212191,2.414884329,,4
101,5,5,"['N283', 'N251', 'N223', 'N222', 'N277']",4,7.030210018,2.523766994,,5.656854249
110111,55,6,"['N236', 'N241_I', 'N85', 'N1', 'N170', 'N70']",3,7.558938265,2.585001945,,8
10110,22,7,"['N206', ' N237', 'N215', 'N138', 'N346', 'N163', 'N5']",10,7.448935509,4.987798929,,11.3137085
10110000,176,8,"['N134', 'N173', 'N328', 'N150', 'N214', 'N169', ' N227', ' N237']",4,7.975918531,2.951421022,,16
110111000,440,9,"['N277', 'N154', 'N361', ' N69', 'N349', 'N334', 'N77', 'N358', 'N263']",19,8.126130342,8.024390697,,22.627417
c17 ,Number of Inputs = 5 ,,,,,,,1
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time,,#VALUE!
1,1,1,['N2'],1,1.753614187,0.085883617,,1.414213562
1,1,2,"['N6', 'N3']",1,1.795223951,0.089705467,,2
11,3,3,"['N6', 'N3', 'N7']",4,1.708354235,0.139775991,,2.828427125
1000,8,4,"['N3', 'N1', 'N7', 'N6']",5,1.90255332,0.145824671,,4
1100,12,5,"['N7', 'N3', 'N2', 'N1', 'N6']",8,1.827548504,0.20678544,,5.656854249
c5315 ,Number of Inputs = 178 ,,,,,,,1
bin,int,len,inputs,attack_iterations,locking_time,SAT_extecution_time,,#VALUE!
0,0,1,['N81'],1,6.469763756,2.208639383,,1.414213562
10,2,2,"['N145', 'N46']",1,7.824415207,1.588250399,,2
100,4,3,"['N226', 'N170', 'N34']",2,5.325586557,1.868576765,,2.828427125
100,4,4,"[' N289', 'N264', 'N145', 'N503']",3,5.552041054,2.288689852,,4
10,2,5,"['N86', 'N88', 'N206', 'N610', 'N188']",4,5.713302135,2.666080236,,5.656854249
10101,21,6,"['N131', 'N596', ' N545', 'N597', 'N43', 'N514']",4,5.487917662,2.775336266,,8
110110,54,7,"['N302', 'N559', 'N523', 'N158', 'N203', 'N161', 'N118']",3,5.589257002,2.457437277,,11.3137085
10100010,162,8,"['N369', 'N335', 'N332', 'N272', 'N206', 'N566', 'N479', 'N109']",3,5.62715292,2.300955057,,16
101000001,321,9,"['N348', 'N302', 'N103', 'N446', 'N115', 'N136', 'N361', 'N53', 'N619']",17,5.768596649,8.030522346,,22.627417
